query_text,Player,Squad,Pos,Nation,Age,Gls,Ast,xG,xAG,PrgC,PrgP,score,player_profile
Brazilian forward with high goals expected goals assists and progressive carries,Alexandre Sola,Estrela,MF,AND,20,0,0,0.0,0.0,0,0,8.394067519865068,"Alexandre Sola is a AND football player who plays for Estrela as a midfielder (MF). Age: 20 Born: 2003. Attacking output: goals 0, assists 0, expected_goals 0.0, expected_assists 0.0, non_penalty_expected_goals 0.0, expected_goal_involvements 0.0. Progression: progressive_carries 0, progressive_passes 0, progressive_receptions 0. Usage: matches_played 1, starts 0, minutes_played 21, full_match_equivalents 0.2. Discipline: yellow_cards 0, red_cards 0."
Brazilian forward with high goals expected goals assists and progressive carries,Beto,Everton,FW,GNB,26,8,0,8.2,1.2,15,16,1.0168466501368763,"Beto is a GNB football player who plays for Everton as a forward (FW). Age: 26 Born: 1998. Attacking output: goals 8, assists 0, expected_goals 8.2, expected_assists 1.2, non_penalty_expected_goals 8.2, expected_goal_involvements 0.55. Progression: progressive_carries 15, progressive_passes 16, progressive_receptions 77. Usage: matches_played 30, starts 15, minutes_played 1534, full_match_equivalents 17.0. Discipline: yellow_cards 2, red_cards 0."
Brazilian forward with high goals expected goals assists and progressive carries,Evanilson,Bournemouth,FW,BRA,24,10,1,12.5,1.9,29,28,1.0168466501368763,"Evanilson is a BRA football player who plays for Bournemouth as a forward (FW). Age: 24 Born: 1999. Attacking output: goals 10, assists 1, expected_goals 12.5, expected_assists 1.9, non_penalty_expected_goals 11.7, expected_goal_involvements 0.56. Progression: progressive_carries 29, progressive_passes 28, progressive_receptions 99. Usage: matches_played 31, starts 28, minutes_played 2319, full_match_equivalents 25.8. Discipline: yellow_cards 1, red_cards 1."
Brazilian forward with high goals expected goals assists and progressive carries,Richarlison,Tottenham,FW,BRA,27,4,1,3.7,0.9,8,11,1.0168466501368763,"Richarlison is a BRA football player who plays for Tottenham as a forward (FW). Age: 27 Born: 1997. Attacking output: goals 4, assists 1, expected_goals 3.7, expected_assists 0.9, non_penalty_expected_goals 3.7, expected_goal_involvements 0.82. Progression: progressive_carries 8, progressive_passes 11, progressive_receptions 22. Usage: matches_played 15, starts 4, minutes_played 504, full_match_equivalents 5.6. Discipline: yellow_cards 2, red_cards 0."
Brazilian forward with high goals expected goals assists and progressive carries,Estanis,Bologna,FW,ESP,20,0,0,0.1,0.2,1,0,1.0168466501368763,"Estanis is a ESP football player who plays for Bologna as a forward (FW). Age: 20 Born: 2003. Attacking output: goals 0, assists 0, expected_goals 0.1, expected_assists 0.2, non_penalty_expected_goals 0.1, expected_goal_involvements 2.35. Progression: progressive_carries 1, progressive_passes 0, progressive_receptions 1. Usage: matches_played 1, starts 0, minutes_played 9, full_match_equivalents 0.1. Discipline: yellow_cards 0, red_cards 0."
Brazilian forward with high goals expected goals assists and progressive carries,Antony,Betis,FW,BRA,24,5,2,2.9,3.5,94,67,1.0168466501368763,"Antony is a BRA football player who plays for Betis as a forward (FW). Age: 24 Born: 2000. Attacking output: goals 5, assists 2, expected_goals 2.9, expected_assists 3.5, non_penalty_expected_goals 2.9, expected_goal_involvements 0.42. Progression: progressive_carries 94, progressive_passes 67, progressive_receptions 157. Usage: matches_played 17, starts 15, minutes_played 1362, full_match_equivalents 15.1. Discipline: yellow_cards 2, red_cards 1."
Brazilian forward with high goals expected goals assists and progressive carries,Cucho,Betis,FW,COL,25,5,1,3.8,1.5,27,34,1.0168466501368763,"Cucho is a COL football player who plays for Betis as a forward (FW). Age: 25 Born: 1999. Attacking output: goals 5, assists 1, expected_goals 3.8, expected_assists 1.5, non_penalty_expected_goals 3.8, expected_goal_involvements 0.42. Progression: progressive_carries 27, progressive_passes 34, progressive_receptions 82. Usage: matches_played 15, starts 14, minutes_played 1139, full_match_equivalents 12.7. Discipline: yellow_cards 0, red_cards 0."
Brazilian forward with high goals expected goals assists and progressive carries,Rodri,Betis,FW,ESP,24,0,0,0.2,0.1,4,8,1.0168466501368763,"Rodri is a ESP football player who plays for Betis as a forward (FW). Age: 24 Born: 2000. Attacking output: goals 0, assists 0, expected_goals 0.2, expected_assists 0.1, non_penalty_expected_goals 0.2, expected_goal_involvements 0.19. Progression: progressive_carries 4, progressive_passes 8, progressive_receptions 11. Usage: matches_played 3, starts 1, minutes_played 118, full_match_equivalents 1.3. Discipline: yellow_cards 0, red_cards 0."
Brazilian forward with high goals expected goals assists and progressive carries,Alesson,Mirassol,FW,BRA,26,0,1,0.0,0.1,0,1,1.0168466501368763,"Alesson is a BRA football player who plays for Mirassol as a forward (FW). Age: 26 Born: 1999. Attacking output: goals 0, assists 1, expected_goals 0.0, expected_assists 0.1, non_penalty_expected_goals 0.0, expected_goal_involvements 0.13. Progression: progressive_carries 0, progressive_passes 1, progressive_receptions 6. Usage: matches_played 2, starts 1, minutes_played 88, full_match_equivalents 1.0. Discipline: yellow_cards 0, red_cards 0."
Brazilian forward with high goals expected goals assists and progressive carries,Aylon,Ceará,FW,BRA,33,1,0,1.7,0.0,4,8,1.0168466501368763,"Aylon is a BRA football player who plays for Ceará as a forward (FW). Age: 33 Born: 1992. Attacking output: goals 1, assists 0, expected_goals 1.7, expected_assists 0.0, non_penalty_expected_goals 1.7, expected_goal_involvements 0.52. Progression: progressive_carries 4, progressive_passes 8, progressive_receptions 18. Usage: matches_played 7, starts 4, minutes_played 291, full_match_equivalents 3.2. Discipline: yellow_cards 0, red_cards 0."
